Address,City,State,Zip Code,Neighborhood,Property Sq Ft, List Rental Price/Month , Price per Sq Ft/Year ,Description / Characterization,Rent Range (if provided),Listing Website
675 S Lane Street,Seattle,WA,98104,Pioneer Sq,"1,475","$2,950.00 ",$24.00 ,Office,,cityfeet.com
308 Occidental Ave S,Seattle,WA,98104,Pioneer Sq,"4,258","$12,774.00 ",$36.00 ,Office,,cityfeet.com
720 3rd Ave,Seattle,WA,98104,Pioneer Sq,"4,404","$15,414.00 ",$42.00 ,Office,,cityfeet.com
720 3rd Ave,Seattle,WA,98104,Pioneer Sq,"8,505","$29,767.50 ",$42.00 ,Office,,cityfeet.com
432 2nd Ave S,Seattle,WA,98104,Pioneer Sq,"2,474","$5,772.67 ",$28.00 ,Office,,cityfeet.com
432 2nd Ave S,Seattle,WA,98104,Pioneer Sq,"2,228","$6,776.83 ",$36.50 ,Office,,cityfeet.com
432 2nd Ave S,Seattle,WA,98104,Pioneer Sq,"7,608","$24,409.00 ",$38.50 ,Office,,cityfeet.com
719 2nd Ave,Seattle,WA,98104,Pioneer Sq,"7,177","$27,118.00 ",$34.00 ,Office,34.00-36.00,cityfeet.com
719 2nd Ave,Seattle,WA,98104,Pioneer Sq,"9,571","$27,117.83 ",$34.00 ,Office,34.00-36.00,cityfeet.com
705 2nd Ave,Seattle,WA,98104,Pioneer Sq,751,"$2,315.58 ",$37.00 ,Office,,cityfeet.com
705 2nd Ave,Seattle,WA,98104,Pioneer Sq,"5,218","$16,958.50 ",$39.00 ,Office,,cityfeet.com
312 2nd Ave S,Seattle,WA,98104,Pioneer Sq,"1,810","$3,016.67 ",$20.00 ,Office,20.00-25.00,cityfeet.com
312 2nd Ave S,Seattle,WA,98104,Pioneer Sq,"5,838","$9,730.00 ",$20.00 ,Office,20.00-25.00,cityfeet.com
800 5th Ave,Seattle,WA,98104,Pioneer Sq,"8,811","$27,901.50 ",$38.00 ,Office,38.00-44.00,cityfeet.com
800 5th Ave,Seattle,WA,98104,Pioneer Sq,"6,150","$19,475.00 ",$38.00 ,Office,38.00-44.00,cityfeet.com
800 5th Ave,Seattle,WA,98104,Pioneer Sq,"4,351","$13,778.17 ",$38.00 ,Office,38.00-44.00,cityfeet.com
74 S Jackson Street,Seattle,WA,98104,Pioneer Sq,"22,713","$94,637.50 ",$50.00 ,Office,50.00-55.00,cityfeet.com
74 S Jackson Street,Seattle,WA,98104,Pioneer Sq,"22,701","$94,587.50 ",$50.00 ,Office,50.00-55.00,cityfeet.com
74 S Jackson Street,Seattle,WA,98104,Pioneer Sq,"21,870","$91,125.00 ",$50.00 ,Office,50.00-55.00,cityfeet.com
801 3rd Ave,Seattle,WA,98104,Pioneer Sq,"17,992","$71,968.00 ",$48.00 ,Office,48.00-58.00,cityfeet.com
801 3rd Ave,Seattle,WA,98104,Pioneer Sq,"21,449","$85,796.00 ",$48.00 ,Office,48.00-58.00,cityfeet.com
801 3rd Ave,Seattle,WA,98104,Pioneer Sq,"23,184","$92,736.00 ",$48.00 ,Office,48.00-58.00,cityfeet.com
805 Madison Street,Seattle,WA,98104,Pioneer Sq,"4,144","$12,086.67 ",$35.00 ,Office,,cityfeet.com
805 Madison Street,Seattle,WA,98104,Pioneer Sq,"2,619","$7,638.75 ",$35.00 ,Office,,cityfeet.com
1229 Madison Street,Seattle,WA,98104,Pioneer Sq,"2,500","$7,916.67 ",$38.00 ,Office,,cityfeet.com
1229 Madison Street,Seattle,WA,98104,Pioneer Sq,"17,170","$54,371.67 ",$38.00 ,Office,,cityfeet.com
925 4th Ave,Seattle,WA,98104,Pioneer Sq,"4,382","$12,415.67 ",$34.00 ,Office,34.00-36.00,cityfeet.com
925 4th Ave,Seattle,WA,98104,Pioneer Sq,"3,659","$12,196.67 ",$40.00 ,Office,40.00-42.00,cityfeet.com
925 4th Ave,Seattle,WA,98104,Pioneer Sq,"11,670","$40,845.00 ",$42.00 ,Office,42.00-45.00,cityfeet.com
801 1st Ave,Seattle,WA,98104,Pioneer Sq,"1,338","$3,568.00 ",$32.00 ,Office,,cityfeet.com
805 1st Ave,Seattle,WA,98104,Pioneer Sq,"2,194","$5,850.67 ",$32.00 ,Office,,cityfeet.com
809 1st Ave,Seattle,WA,98104,Pioneer Sq,"6,862","$18,298.67 ",$32.00 ,Office,,cityfeet.com
710 2nd Ave,Seattle,WA,98104,Pioneer Sq,"6,564","$16,410.00 ",$30.00 ,Office,30.00-32.00,cityfeet.com
710 2nd Ave,Seattle,WA,98104,Pioneer Sq,"12,168","$44,616.00 ",$44.00 ,Office,44.00-46.00,cityfeet.com
710 2nd Ave,Seattle,WA,98104,Pioneer Sq,"4,750","$17,416.67 ",$44.00 ,Office,44.00-46.00,cityfeet.com
300 5th Ave,Seattle,WA,98104,Pioneer Sq,"1,771","$5,608.17 ",$38.00 ,Office,,cityfeet.com
